start_neighborhood,trip_duration
Midtown-Times Square,587.0
Financial District-Battery Park City,564.0
Midtown-Times Square,316.0
Midtown-Times Square,1204.0
Chelsea-Hudson Yards,467.0
Greenwich Village,592.0
Chelsea-Hudson Yards,396.0
Financial District-Battery Park City,1306.0
Hell's Kitchen,378.0
Greenwich Village,621.0
East Village,198.0
West Village,411.0
East Midtown-Turtle Bay,1050.0
Greenwich Village,731.0
Hell's Kitchen,294.0
Financial District-Battery Park City,350.0
Chinatown-Two Bridges,1726.0
East Village,911.0
Greenwich Village,220.0
West Village,1074.0
Chelsea-Hudson Yards,348.0
Tribeca-Civic Center,1938.0
West Village,726.0
East Midtown-Turtle Bay,471.0
Greenwich Village,315.0
Chelsea-Hudson Yards,1809.0
Brooklyn Heights,1365.0
Greenwich Village,762.0
Midtown South-Flatiron-Union Square,1364.0
East Midtown-Turtle Bay,943.0
Tribeca-Civic Center,437.0
Tribeca-Civic Center,991.0
SoHo-Little Italy-Hudson Square,1543.0
SoHo-Little Italy-Hudson Square,510.0
Chinatown-Two Bridges,1835.0
East Midtown-Turtle Bay,903.0
SoHo-Little Italy-Hudson Square,451.0
East Village,403.0
Financial District-Battery Park City,332.0
Lower East Side,1656.0
Chelsea-Hudson Yards,1732.0
Chelsea-Hudson Yards,935.0
Downtown Brooklyn-DUMBO-Boerum Hill,1025.0
Midtown-Times Square,600.0
Upper West Side-Lincoln Square,2079.0
Midtown South-Flatiron-Union Square,1656.0
Midtown-Times Square,1344.0
Downtown Brooklyn-DUMBO-Boerum Hill,389.0
The Battery-Governors Island-Ellis Island-Liberty Island,471.0
Financial District-Battery Park City,443.0
Greenwich Village,665.0
Midtown-Times Square,451.0
Greenwich Village,246.0
Midtown South-Flatiron-Union Square,452.0
Murray Hill-Kips Bay,620.0
Hell's Kitchen,250.0
East Midtown-Turtle Bay,1346.0
Chelsea-Hudson Yards,443.0
Tribeca-Civic Center,311.0
Financial District-Battery Park City,262.0
Chelsea-Hudson Yards,406.0
Gramercy,417.0
Financial District-Battery Park City,1675.0
Tribeca-Civic Center,633.0
Tribeca-Civic Center,242.0
Murray Hill-Kips Bay,515.0
Gramercy,664.0
The Battery-Governors Island-Ellis Island-Liberty Island,381.0
Lower East Side,584.0
Chelsea-Hudson Yards,368.0
Midtown South-Flatiron-Union Square,371.0
East Village,659.0
Midtown-Times Square,170.0
Murray Hill-Kips Bay,295.0
Stuyvesant Town-Peter Cooper Village,1360.0
Chelsea-Hudson Yards,391.0
Chinatown-Two Bridges,256.0
Bedford-Stuyvesant (West),264.0
Fort Greene,303.0
Downtown Brooklyn-DUMBO-Boerum Hill,1494.0
Williamsburg,1334.0
Chelsea-Hudson Yards,398.0
Upper West Side-Lincoln Square,529.0
Chelsea-Hudson Yards,320.0
Greenwich Village,552.0
Midtown-Times Square,455.0
Clinton Hill,402.0
Chelsea-Hudson Yards,181.0
Hell's Kitchen,66.0
Gramercy,843.0
Hell's Kitchen,1105.0
Midtown-Times Square,365.0
Upper West Side-Lincoln Square,431.0
Midtown South-Flatiron-Union Square,240.0
Financial District-Battery Park City,440.0
Midtown-Times Square,539.0
Murray Hill-Kips Bay,676.0
Chelsea-Hudson Yards,271.0
Chelsea-Hudson Yards,939.0
Chelsea-Hudson Yards,450.0
Tribeca-Civic Center,2086.0
